SUMMARY
TOTAL_ROWS|
4519
NUMBER_SCOPES|
63
SUM_MIN_COUNT_63|
3247
SCOPES_COUNT_LT_63|
35
SCOPES_COUNT_EQ_63|
0
SCOPES_COUNT_GT_63|
28
CURRENT_ACTUAL_INITIALIZING|
3247
3712_MINUS_CURRENT_ACTUAL_INITIALIZING|
465
CURRENT_ACTUAL_INITIALIZING_MINUS_ONE_PER_SYMBOL_EXPECTED_1890|
1357

SCOPES|SYMBOL|RUN|COUNT|MIN_COUNT_63|ACTUAL_INITIALIZING|ACTUAL_OBSERVABLE
20260910T190625Z-1|AAPL|AAPL|20260910T190625Z-1|2|2|2|0
20260910T191246Z-1|AAPL|AAPL|20260910T191246Z-1|51|51|51|0
20260911T161623Z-1|AAPL|AAPL|20260911T161623Z-1|120|63|63|57
20260910T191246Z-1|AMD|AMD|20260910T191246Z-1|47|47|47|0
20260911T161623Z-1|AMD|AMD|20260911T161623Z-1|113|63|63|50
20260910T191246Z-1|AMZN|AMZN|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|AMZN|AMZN|20260911T161623Z-1|119|63|63|56
20260910T191246Z-1|AVGO|AVGO|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|AVGO|AVGO|20260911T161623Z-1|118|63|63|55
20260910T191246Z-1|BAC|BAC|20260910T191246Z-1|47|47|47|0
20260911T161623Z-1|BAC|BAC|20260911T161623Z-1|117|63|63|54
20260910T191246Z-1|COST|COST|20260910T191246Z-1|32|32|32|0
20260911T161623Z-1|COST|COST|20260911T161623Z-1|80|63|63|17
20260910T191246Z-1|DIA|DIA|20260910T191246Z-1|38|38|38|0
20260911T161623Z-1|DIA|DIA|20260911T161623Z-1|33|33|33|0
20260910T191246Z-1|EEM|EEM|20260910T191246Z-1|45|45|45|0
20260911T161623Z-1|EEM|EEM|20260911T161623Z-1|99|63|63|36
20260910T191246Z-1|GLD|GLD|20260910T191246Z-1|47|47|47|0
20260911T161623Z-1|GLD|GLD|20260911T161623Z-1|87|63|63|24
20260910T191246Z-1|GOOGL|GOOGL|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|GOOGL|GOOGL|20260911T161623Z-1|115|63|63|52
20260910T191246Z-1|HD|HD|20260910T191246Z-1|45|45|45|0
20260911T161623Z-1|HD|HD|20260911T161623Z-1|88|63|63|25
20260910T191246Z-1|IWM|IWM|20260910T191246Z-1|50|50|50|0
20260911T161623Z-1|IWM|IWM|20260911T161623Z-1|119|63|63|56
20260910T191246Z-1|JNJ|JNJ|20260910T191246Z-1|44|44|44|0
20260911T161623Z-1|JNJ|JNJ|20260911T161623Z-1|86|63|63|23
20260910T191246Z-1|JPM|JPM|20260910T191246Z-1|46|46|46|0
20260911T161623Z-1|JPM|JPM|20260911T161623Z-1|105|63|63|42
20260910T191246Z-1|MA|MA|20260910T191246Z-1|43|43|43|0
20260911T161623Z-1|MA|MA|20260911T161623Z-1|89|63|63|26
20260910T191246Z-1|META|META|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|META|META|20260911T161623Z-1|120|63|63|57
20260910T190625Z-1|MSFT|MSFT|20260910T190625Z-1|2|2|2|0
20260910T191246Z-1|MSFT|MSFT|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|MSFT|MSFT|20260911T161623Z-1|114|63|63|51
20260910T191246Z-1|NFLX|NFLX|20260910T191246Z-1|49|49|49|0
20260911T161623Z-1|NFLX|NFLX|20260911T161623Z-1|120|63|63|57
20260910T190625Z-1|NVDA|NVDA|20260910T190625Z-1|2|2|2|0
20260910T191246Z-1|NVDA|NVDA|20260910T191246Z-1|49|49|49|0
20260911T161623Z-1|NVDA|NVDA|20260911T161623Z-1|120|63|63|57
20260910T191246Z-1|QQQ|QQQ|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|QQQ|QQQ|20260911T161623Z-1|116|63|63|53
20260910T191246Z-1|SPY|SPY|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|SPY|SPY|20260911T161623Z-1|120|63|63|57
20260910T191246Z-1|TLT|TLT|20260910T191246Z-1|51|51|51|0
20260911T161623Z-1|TLT|TLT|20260911T161623Z-1|103|63|63|40
20260910T191246Z-1|TSLA|TSLA|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|TSLA|TSLA|20260911T161623Z-1|120|63|63|57
20260910T191246Z-1|UNH|UNH|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|UNH|UNH|20260911T161623Z-1|116|63|63|53
20260910T191246Z-1|V|V|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|V|V|20260911T161623Z-1|101|63|63|38
20260910T191246Z-1|VXX|VXX|20260910T191246Z-1|44|44|44|0
20260911T161623Z-1|VXX|VXX|20260911T161623Z-1|51|51|51|0
20260910T191246Z-1|WMT|WMT|20260910T191246Z-1|48|48|48|0
20260911T161623Z-1|WMT|WMT|20260911T161623Z-1|116|63|63|53
20260910T191246Z-1|XLF|XLF|20260910T191246Z-1|49|49|49|0
20260911T161623Z-1|XLF|XLF|20260911T161623Z-1|118|63|63|55
20260910T191246Z-1|XLK|XLK|20260910T191246Z-1|43|43|43|0
20260911T161623Z-1|XLK|XLK|20260911T161623Z-1|91|63|63|28
20260910T191246Z-1|XOM|XOM|20260910T191246Z-1|45|45|45|0
20260911T161623Z-1|XOM|XOM|20260911T161623Z-1|106|63|63|43
