source_row_index,source_timestamp,entity_id,close,adaptive_status,adaptive_position_decision,pricing_status,pricing_emitted,pricing_color,pricing_phase,pricing_confidence,rk_success,domain_exit,price_cockpit_output
0,2022-09-30 04:00:00,AAPL,143.49,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
1,2022-09-30 04:01:00,AAPL,143.38,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
2,2022-09-30 04:02:00,AAPL,143.22,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
3,2022-09-30 04:03:00,AAPL,143.23,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
4,2022-09-30 04:04:00,AAPL,143.32,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
5,2022-09-30 04:05:00,AAPL,143.2,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
6,2022-09-30 04:06:00,AAPL,143.0,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
7,2022-09-30 04:09:00,AAPL,143.02,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
8,2022-09-30 04:14:00,AAPL,143.2,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
9,2022-09-30 04:15:00,AAPL,143.24,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
10,2022-09-30 04:16:00,AAPL,143.39,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
11,2022-09-30 04:17:00,AAPL,143.35,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
12,2022-09-30 04:18:00,AAPL,143.33,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
13,2022-09-30 04:19:00,AAPL,143.31,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
14,2022-09-30 04:20:00,AAPL,143.31,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
15,2022-09-30 04:21:00,AAPL,143.3,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
16,2022-09-30 04:24:00,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
17,2022-09-30 04:25:00,AAPL,143.35,ACTIONABLE,BUY,WARMUP_F4,False,,,,,,False
18,2022-09-30 04:26:00,AAPL,143.34,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
19,2022-09-30 04:27:00,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
20,2022-09-30 04:30:00,AAPL,143.22,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
21,2022-09-30 04:32:00,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
22,2022-09-30 04:33:00,AAPL,143.23,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
23,2022-09-30 04:36:00,AAPL,143.2,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
24,2022-09-30 04:37:00,AAPL,143.24,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
25,2022-09-30 04:38:00,AAPL,143.02,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
26,2022-09-30 04:39:00,AAPL,143.19,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
27,2022-09-30 04:40:00,AAPL,143.2,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
28,2022-09-30 04:41:00,AAPL,143.2,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
29,2022-09-30 04:42:00,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
30,2022-09-30 04:43:00,AAPL,143.3,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
31,2022-09-30 04:44:00,AAPL,143.32,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
32,2022-09-30 04:46:00,AAPL,143.34,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
33,2022-09-30 04:49:00,AAPL,143.34,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
34,2022-09-30 04:50:00,AAPL,143.3,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
35,2022-09-30 04:52:00,AAPL,143.4,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
36,2022-09-30 04:53:00,AAPL,143.5,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
37,2022-09-30 04:55:00,AAPL,143.45,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
38,2022-09-30 04:57:00,AAPL,143.5,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
39,2022-09-30 04:58:00,AAPL,143.57,ACTIONABLE,BUY,WARMUP_F4,False,,,,,,False
40,2022-09-30 04:59:00,AAPL,143.54,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
41,2022-09-30 05:01:00,AAPL,143.41,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
42,2022-09-30 05:02:00,AAPL,143.36,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
43,2022-09-30 05:03:00,AAPL,143.38,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
44,2022-09-30 05:06:00,AAPL,143.4,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
45,2022-09-30 05:07:00,AAPL,143.4,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,False,True
46,2022-09-30 05:08:00,AAPL,143.39,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,False,True
47,2022-09-30 05:09:00,AAPL,143.39,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
48,2022-09-30 05:10:00,AAPL,143.39,ACTIONABLE,SELL,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
49,2022-09-30 05:11:00,AAPL,143.32,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
50,2022-09-30 05:13:00,AAPL,143.4,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
51,2022-09-30 05:15:00,AAPL,143.31,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_DECELERATING,MEDIUM,True,False,True
52,2022-09-30 05:16:00,AAPL,143.38,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_DECELERATING,MEDIUM,True,False,True
53,2022-09-30 05:17:00,AAPL,143.2,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
54,2022-09-30 05:19:00,AAPL,143.06,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_DECELERATING,MEDIUM,True,False,True
55,2022-09-30 05:20:00,AAPL,143.0,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
56,2022-09-30 05:21:00,AAPL,143.04,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
57,2022-09-30 05:22:00,AAPL,143.1,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
58,2022-09-30 05:23:00,AAPL,143.01,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
59,2022-09-30 05:24:00,AAPL,143.05,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
60,2022-09-30 05:25:00,AAPL,143.2,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
61,2022-09-30 05:26:00,AAPL,143.2,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_DECELERATING,MEDIUM,True,False,True
62,2022-09-30 05:27:00,AAPL,143.2,ACTIONABLE,HOLD,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,True,True
63,2022-09-30 05:28:00,AAPL,143.21,ACTIONABLE,HOLD,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,True,True
64,2022-09-30 05:29:00,AAPL,143.38,ACTIONABLE,BUY,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,True,True
65,2022-09-30 05:32:00,AAPL,143.2,ACTIONABLE,HOLD,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,True,True
66,2022-09-30 05:34:00,AAPL,143.3,ACTIONABLE,BUY,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,False,True
67,2022-09-30 05:35:00,AAPL,143.3,ACTIONABLE,HOLD,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,False,True
68,2022-09-30 05:37:00,AAPL,143.2,ACTIONABLE,HOLD,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,False,True
69,2022-09-30 05:38:00,AAPL,143.04,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
70,2022-09-30 05:41:00,AAPL,143.03,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
71,2022-09-30 05:43:00,AAPL,143.03,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
72,2022-09-30 05:44:00,AAPL,143.04,ACTIONABLE,BUY,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
73,2022-09-30 05:45:00,AAPL,143.04,ACTIONABLE,BUY,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
74,2022-09-30 05:46:00,AAPL,143.15,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
75,2022-09-30 05:49:00,AAPL,143.16,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,False,True
76,2022-09-30 05:50:00,AAPL,143.15,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_DECELERATING,LOW,True,False,True
77,2022-09-30 05:52:00,AAPL,143.15,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
78,2022-09-30 05:55:00,AAPL,143.1,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
79,2022-09-30 05:56:00,AAPL,143.06,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
80,2022-09-30 05:57:00,AAPL,143.03,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
81,2022-09-30 05:58:00,AAPL,142.89,ACTIONABLE,SELL,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
82,2022-09-30 06:01:00,AAPL,143.0,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_DECELERATING,LOW,True,True,True
83,2022-09-30 06:02:00,AAPL,143.17,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
84,2022-09-30 06:03:00,AAPL,143.18,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
85,2022-09-30 06:04:00,AAPL,143.25,ACTIONABLE,BUY,EMITTED,True,AMBER,NEAR_STATIONARY,MEDIUM,True,False,True
86,2022-09-30 06:05:00,AAPL,143.3,ACTIONABLE,BUY,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
87,2022-09-30 06:06:00,AAPL,143.25,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
88,2022-09-30 06:07:00,AAPL,143.15,ACTIONABLE,SELL,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
89,2022-09-30 06:08:00,AAPL,143.17,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
90,2022-09-30 06:09:00,AAPL,143.25,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
91,2022-09-30 06:11:00,AAPL,143.3,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
92,2022-09-30 06:12:00,AAPL,143.3,ACTIONABLE,HOLD,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
93,2022-09-30 06:13:00,AAPL,143.25,ACTIONABLE,SELL,EMITTED,True,GREEN,UP_ACCELERATING,MEDIUM,True,False,True
94,2022-09-30 06:14:00,AAPL,143.3,ACTIONABLE,HOLD,EMITTED,True,AMBER,NEAR_STATIONARY,MEDIUM,True,False,True
95,2022-09-30 06:15:00,AAPL,143.28,ACTIONABLE,HOLD,EMITTED,True,RED,DOWN_ACCELERATING,MEDIUM,True,False,True
96,2022-09-30 06:16:00,AAPL,143.34,ACTIONABLE,HOLD,EMITTED,True,AMBER,DOWN_ACCELERATING,LOW,True,True,True
97,2022-09-30 06:17:00,AAPL,143.36,ACTIONABLE,HOLD,EMITTED,True,AMBER,NEAR_STATIONARY,LOW,True,False,True
98,2022-09-30 06:19:00,AAPL,143.25,ACTIONABLE,HOLD,EMITTED,True,AMBER,UP_ACCELERATING,LOW,True,True,True
99,2022-09-30 06:21:00,AAPL,143.16,ACTIONABLE,HOLD,EMITTED,True,AMBER,UP_DECELERATING,MEDIUM,True,False,True
