observation_index,timestamp,V_RAW,V_N,V1,V2,predicted_next_V_N,interval_state_json
16,2023-03-30T08:16:00Z,340.0,0.3090909090909091,nan,nan,0.3090909090909091,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
17,2023-03-30T08:17:00Z,100.0,0.1,0.6263992235522484,1.6709802652863155,0.1,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
18,2023-03-30T08:18:00Z,900.0,0.9127789046653144,1.323713811543426,1.0218698137562239,0.9127789046653144,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
19,2023-03-30T08:19:00Z,400.0,0.4444444444444444,-1.108891142663962,-1.2811133648861852,0.4444444444444444,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
20,2023-03-30T08:20:00Z,900.0,1.0,1.067500563443768,1.023890015776426,1.0,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
21,2023-03-30T08:21:00Z,202.0,0.22444444444444445,-1.4411111111111106,-1.3311111111111118,0.22444444444444445,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
22,2023-03-30T08:22:00Z,200.0,0.2222222222222222,0.38444444444444426,0.7733333333333335,0.2222222222222222,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
23,2023-03-30T08:24:00Z,1000.0,1.0141987829614605,0.6614619487641795,0.26547366839456055,1.0141987829614605,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
24,2023-03-30T08:26:00Z,300.0,0.3333333333333333,-0.7086432274059049,-0.36821050259184135,0.3333333333333333,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
25,2023-03-30T08:27:00Z,200.0,0.2222222222222222,-0.034670573210126954,0.15288107580196847,0.2222222222222222,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
26,2023-03-30T08:28:00Z,8400.0,9.333333333333334,13.722222222222221,9.222222222222227,9.333333333333334,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
27,2023-03-30T08:29:00Z,15400.0,17.11111111111111,7.111111111111111,-1.3333333333333388,17.11111111111111,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
28,2023-03-30T08:30:00Z,6550.0,7.277777777777778,-18.63888888888888,-17.611111111111114,7.277777777777778,"{""count_elevated"":NaN,""count_extreme"":NaN,""max_median"":NaN,""mean_vn"":NaN,""median"":NaN,""persist_baseline"":NaN,""since_max"":NaN,""std"":NaN}"
29,2023-03-30T08:32:00Z,600.0,1.0,1.3240740740740717,4.4629629629629655,1.0,"{""count_elevated"":1.0,""count_extreme"":3.0,""max_median"":25.666666666666668,""mean_vn"":3.0163447339158833,""median"":600.0,""persist_baseline"":4.0,""since_max"":2.0,""std"":4308.445960616838}"
30,2023-03-30T08:36:00Z,327.0,0.8175,2.016550925925925,1.031087962962963,0.8175,"{""count_elevated"":0.0,""count_extreme"":3.0,""max_median"":38.5,""mean_vn"":2.688163832373772,""median"":400.0,""persist_baseline"":0.0,""since_max"":3.0,""std"":4232.197608282907}"
31,2023-03-30T08:38:00Z,835.0,1.3916666666666666,0.39798611111111104,0.11090277777777768,1.3916666666666666,"{""count_elevated"":0.0,""count_extreme"":3.0,""max_median"":25.666666666666668,""mean_vn"":2.7603355495454887,""median"":600.0,""persist_baseline"":1.0,""since_max"":4.0,""std"":4218.0065191456915}"
