source_observation_index,timestamp,V_RAW
1,2023-03-30T08:00:00Z,10367.0
2,2023-03-30T08:01:00Z,1124.0
3,2023-03-30T08:02:00Z,1100.0
4,2023-03-30T08:03:00Z,1191.0
5,2023-03-30T08:04:00Z,200.0
6,2023-03-30T08:05:00Z,617.0
7,2023-03-30T08:06:00Z,100.0
8,2023-03-30T08:07:00Z,400.0
9,2023-03-30T08:08:00Z,2800.0
10,2023-03-30T08:09:00Z,986.0
11,2023-03-30T08:10:00Z,1300.0
12,2023-03-30T08:11:00Z,1804.0
13,2023-03-30T08:12:00Z,1000.0
14,2023-03-30T08:13:00Z,2450.0
15,2023-03-30T08:14:00Z,6452.0
16,2023-03-30T08:16:00Z,340.0
17,2023-03-30T08:17:00Z,100.0
18,2023-03-30T08:18:00Z,900.0
19,2023-03-30T08:19:00Z,400.0
20,2023-03-30T08:20:00Z,900.0
21,2023-03-30T08:21:00Z,202.0
22,2023-03-30T08:22:00Z,200.0
23,2023-03-30T08:24:00Z,1000.0
24,2023-03-30T08:26:00Z,300.0
25,2023-03-30T08:27:00Z,200.0
26,2023-03-30T08:28:00Z,8400.0
27,2023-03-30T08:29:00Z,15400.0
28,2023-03-30T08:30:00Z,6550.0
29,2023-03-30T08:32:00Z,600.0
30,2023-03-30T08:36:00Z,327.0
31,2023-03-30T08:38:00Z,835.0
32,2023-03-30T08:41:00Z,249.0
33,2023-03-30T08:43:00Z,150.0
34,2023-03-30T08:48:00Z,100.0
35,2023-03-30T08:49:00Z,200.0
36,2023-03-30T08:50:00Z,834.0
37,2023-03-30T08:53:00Z,505.0
38,2023-03-30T08:54:00Z,100.0
39,2023-03-30T08:59:00Z,100.0
40,2023-03-30T09:00:00Z,160.0
41,2023-03-30T09:01:00Z,359.0
42,2023-03-30T09:02:00Z,335.0
43,2023-03-30T09:04:00Z,500.0
44,2023-03-30T09:05:00Z,520.0
45,2023-03-30T09:08:00Z,196.0
46,2023-03-30T09:09:00Z,1250.0
47,2023-03-30T09:10:00Z,400.0
48,2023-03-30T09:11:00Z,250.0
49,2023-03-30T09:12:00Z,300.0
50,2023-03-30T09:16:00Z,4200.0
51,2023-03-30T09:17:00Z,500.0
52,2023-03-30T09:18:00Z,100.0
53,2023-03-30T09:19:00Z,752.0
54,2023-03-30T09:20:00Z,200.0
55,2023-03-30T09:24:00Z,100.0
56,2023-03-30T09:25:00Z,500.0
57,2023-03-30T09:26:00Z,200.0
58,2023-03-30T09:27:00Z,427.0
59,2023-03-30T09:28:00Z,100.0
60,2023-03-30T09:30:00Z,900.0
61,2023-03-30T09:31:00Z,320.0
62,2023-03-30T09:35:00Z,167.0
63,2023-03-30T09:36:00Z,500.0
64,2023-03-30T09:37:00Z,1000.0
65,2023-03-30T09:38:00Z,100.0
66,2023-03-30T09:39:00Z,100.0
67,2023-03-30T09:40:00Z,5324.0
68,2023-03-30T09:43:00Z,2400.0
69,2023-03-30T09:51:00Z,343.0
70,2023-03-30T09:52:00Z,800.0
71,2023-03-30T09:53:00Z,5800.0
72,2023-03-30T09:54:00Z,1250.0
73,2023-03-30T09:57:00Z,1100.0
74,2023-03-30T09:59:00Z,100.0
75,2023-03-30T10:01:00Z,972.0
76,2023-03-30T10:03:00Z,500.0
77,2023-03-30T10:04:00Z,2394.0
78,2023-03-30T10:05:00Z,300.0
79,2023-03-30T10:07:00Z,194.0
80,2023-03-30T10:09:00Z,1400.0
